case_id,enabled,pki_chain_id,pki_kind,root_sig_alg,intermediate_sig_alg,leaf_sig_alg,kex_group,kex_family,kex_nist_level,kex_public_key_bytes,kex_ciphertext_bytes,kex_shared_secret_bytes,cert_sig_alg,sig_family,sig_nist_level,sig_public_key_bytes,sig_private_key_bytes,sig_signature_bytes,certificate_verify_alg,iterations,warmup_iterations,expected_support,notes
secp384r1mlkem1024__homogeneous_lms_hss_l2_h10_w4,1,homogeneous_lms_hss_l2_h10_w4,homogeneous_x509,LMS-HSS-L2-H10-W4,LMS-HSS-L2-H10-W4,LMS-HSS-L2-H10-W4,SecP384r1MLKEM1024,pqc,5,1665,1665,80,LMS-HSS-L2-H10-W4,pqc,5,60,64,5076,ecdsa_secp256r1_sha256,25,0,required,LMS-HSS-L2-H10-W4 signs all X.509 certificates; TLS CertificateVerify uses ECDSA
x25519mlkem768__root_xmss_sha2_20_256__leaf_ecdsa_p_521,1,root_xmss_sha2_20_256__leaf_ecdsa_p_521,heavy_root,XMSS-SHA2_20_256,ECDSA-P-521,ECDSA-P-521,X25519MLKEM768,pqc,3,1216,1120,64,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,25,0,required,
ecdhe_p_256__homogeneous_ecdsa_p_384,1,homogeneous_ecdsa_p_384,homogeneous,ECDSA-P-384,ECDSA-P-384,ECDSA-P-384,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
secp384r1mlkem1024__root_rsa_pss_3072__leaf_ecdsa_p_256,1,root_rsa_pss_3072__leaf_ecdsa_p_256,heavy_root,RSA-PSS-3072,ECDSA-P-256,ECDSA-P-256,SecP384r1MLKEM1024,pqc,5,1665,1665,80,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
ecdhe_p_521__homogeneous_slh_dsa_shake_192f,1,homogeneous_slh_dsa_shake_192f,homogeneous_x509,SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f,ECDHE-P-521,classic,5,133,133,66,SLH-DSA-SHAKE-192f,pqc,3,48,96,35664,ecdsa_secp384r1_sha384,25,0,required,SLH-DSA-SHAKE-192f signs all X.509 certificates; TLS CertificateVerify uses ECDSA
ecdhe_p_256__root_slh_dsa_shake_256f__leaf_ml_dsa_87,1,root_slh_dsa_shake_256f__leaf_ml_dsa_87,heavy_root,SLH-DSA-SHAKE-256f,ML-DSA-87,ML-DSA-87,ECDHE-P-256,classic,1,65,65,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
secp256r1mlkem768__root_lms_hss_l2_h10_w4__leaf_ecdsa_p_521,1,root_lms_hss_l2_h10_w4__leaf_ecdsa_p_521,heavy_root,LMS-HSS-L2-H10-W4,ECDSA-P-521,ECDSA-P-521,SecP256r1MLKEM768,pqc,3,1249,1153,64,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,25,0,required,
mlkem768__root_lms_hss_l2_h10_w4__leaf_ml_dsa_87,1,root_lms_hss_l2_h10_w4__leaf_ml_dsa_87,heavy_root,LMS-HSS-L2-H10-W4,ML-DSA-87,ML-DSA-87,MLKEM768,pqc,3,1184,1088,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
secp256r1mlkem768__root_rsa_pss_7680__leaf_ecdsa_p_384,1,root_rsa_pss_7680__leaf_ecdsa_p_384,heavy_root,RSA-PSS-7680,ECDSA-P-384,ECDSA-P-384,SecP256r1MLKEM768,pqc,3,1249,1153,64,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
mlkem512__root_slh_dsa_shake_192s__leaf_ml_dsa_65,1,root_slh_dsa_shake_192s__leaf_ml_dsa_65,heavy_root,SLH-DSA-SHAKE-192s,ML-DSA-65,ML-DSA-65,MLKEM512,pqc,1,800,768,32,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,25,0,required,
x25519mlkem768__root_rsa_pss_7680__leaf_ml_dsa_65,1,root_rsa_pss_7680__leaf_ml_dsa_65,heavy_root,RSA-PSS-7680,ML-DSA-65,ML-DSA-65,X25519MLKEM768,pqc,3,1216,1120,64,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,25,0,required,
mlkem768__homogeneous_ecdsa_p_384,1,homogeneous_ecdsa_p_384,homogeneous,ECDSA-P-384,ECDSA-P-384,ECDSA-P-384,MLKEM768,pqc,3,1184,1088,32,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
ecdhe_p_256__root_xmss_sha2_20_256__leaf_ml_dsa_87,1,root_xmss_sha2_20_256__leaf_ml_dsa_87,heavy_root,XMSS-SHA2_20_256,ML-DSA-87,ML-DSA-87,ECDHE-P-256,classic,1,65,65,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
secp384r1mlkem1024__root_slh_dsa_shake_256s__leaf_ecdsa_p_521,1,root_slh_dsa_shake_256s__leaf_ecdsa_p_521,heavy_root,SLH-DSA-SHAKE-256s,ECDSA-P-521,ECDSA-P-521,SecP384r1MLKEM1024,pqc,5,1665,1665,80,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,25,0,required,
ecdhe_p_521__homogeneous_slh_dsa_shake_128f,1,homogeneous_slh_dsa_shake_128f,homogeneous_x509,SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128f,ECDHE-P-521,classic,5,133,133,66,SLH-DSA-SHAKE-128f,pqc,1,32,64,17088,ecdsa_secp256r1_sha256,25,0,required,SLH-DSA-SHAKE-128f signs all X.509 certificates; TLS CertificateVerify uses ECDSA
mlkem768__root_slh_dsa_shake_128s__leaf_ecdsa_p_256,1,root_slh_dsa_shake_128s__leaf_ecdsa_p_256,heavy_root,SLH-DSA-SHAKE-128s,ECDSA-P-256,ECDSA-P-256,MLKEM768,pqc,3,1184,1088,32,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
ecdhe_p_521__homogeneous_rsa_pss_7680,1,homogeneous_rsa_pss_7680,homogeneous_x509,RSA-PSS-7680,RSA-PSS-7680,RSA-PSS-7680,ECDHE-P-521,classic,5,133,133,66,RSA-PSS-7680,classic,3,960,960,960,rsa_pss_rsae_sha384,25,0,required,
secp384r1mlkem1024__homogeneous_ecdsa_p_256,1,homogeneous_ecdsa_p_256,homogeneous,ECDSA-P-256,ECDSA-P-256,ECDSA-P-256,SecP384r1MLKEM1024,pqc,5,1665,1665,80,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
secp384r1mlkem1024__root_lms_hss_l2_h10_w4__leaf_ecdsa_p_521,1,root_lms_hss_l2_h10_w4__leaf_ecdsa_p_521,heavy_root,LMS-HSS-L2-H10-W4,ECDSA-P-521,ECDSA-P-521,SecP384r1MLKEM1024,pqc,5,1665,1665,80,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,25,0,required,
x25519mlkem768__homogeneous_slh_dsa_shake_256s,1,homogeneous_slh_dsa_shake_256s,homogeneous_x509,SLH-DSA-SHAKE-256s,SLH-DSA-SHAKE-256s,SLH-DSA-SHAKE-256s,X25519MLKEM768,pqc,3,1216,1120,64,SLH-DSA-SHAKE-256s,pqc,5,64,128,29792,ecdsa_secp521r1_sha512,25,0,required,SLH-DSA-SHAKE-256s signs all X.509 certificates; TLS CertificateVerify uses ECDSA
secp256r1mlkem768__homogeneous_slh_dsa_shake_128f,1,homogeneous_slh_dsa_shake_128f,homogeneous_x509,SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128f,SecP256r1MLKEM768,pqc,3,1249,1153,64,SLH-DSA-SHAKE-128f,pqc,1,32,64,17088,ecdsa_secp256r1_sha256,25,0,required,SLH-DSA-SHAKE-128f signs all X.509 certificates; TLS CertificateVerify uses ECDSA
mlkem1024__root_slh_dsa_shake_128f__leaf_ml_dsa_44,1,root_slh_dsa_shake_128f__leaf_ml_dsa_44,heavy_root,SLH-DSA-SHAKE-128f,ML-DSA-44,ML-DSA-44,MLKEM1024,pqc,5,1568,1568,32,ML-DSA-44,pqc,2,1312,2560,2420,mldsa44,25,0,required,
ecdhe_p_384__root_xmss_sha2_20_256__leaf_ecdsa_p_521,1,root_xmss_sha2_20_256__leaf_ecdsa_p_521,heavy_root,XMSS-SHA2_20_256,ECDSA-P-521,ECDSA-P-521,ECDHE-P-384,classic,3,97,97,48,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,25,0,required,
secp256r1mlkem768__root_rsa_pss_15360__leaf_ml_dsa_87,1,root_rsa_pss_15360__leaf_ml_dsa_87,heavy_root,RSA-PSS-15360,ML-DSA-87,ML-DSA-87,SecP256r1MLKEM768,pqc,3,1249,1153,64,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
ecdhe_p_384__root_rsa_pss_3072__leaf_ecdsa_p_256,1,root_rsa_pss_3072__leaf_ecdsa_p_256,heavy_root,RSA-PSS-3072,ECDSA-P-256,ECDSA-P-256,ECDHE-P-384,classic,3,97,97,48,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
x25519mlkem768__root_slh_dsa_shake_128s__leaf_ml_dsa_44,1,root_slh_dsa_shake_128s__leaf_ml_dsa_44,heavy_root,SLH-DSA-SHAKE-128s,ML-DSA-44,ML-DSA-44,X25519MLKEM768,pqc,3,1216,1120,64,ML-DSA-44,pqc,2,1312,2560,2420,mldsa44,25,0,required,
ecdhe_p_384__homogeneous_slh_dsa_shake_128f,1,homogeneous_slh_dsa_shake_128f,homogeneous_x509,SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128f,ECDHE-P-384,classic,3,97,97,48,SLH-DSA-SHAKE-128f,pqc,1,32,64,17088,ecdsa_secp256r1_sha256,25,0,required,SLH-DSA-SHAKE-128f signs all X.509 certificates; TLS CertificateVerify uses ECDSA
ecdhe_p_256__homogeneous_ml_dsa_87,1,homogeneous_ml_dsa_87,homogeneous,ML-DSA-87,ML-DSA-87,ML-DSA-87,ECDHE-P-256,classic,1,65,65,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
secp384r1mlkem1024__root_slh_dsa_shake_128f__leaf_ecdsa_p_256,1,root_slh_dsa_shake_128f__leaf_ecdsa_p_256,heavy_root,SLH-DSA-SHAKE-128f,ECDSA-P-256,ECDSA-P-256,SecP384r1MLKEM1024,pqc,5,1665,1665,80,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
secp256r1mlkem768__homogeneous_ecdsa_p_384,1,homogeneous_ecdsa_p_384,homogeneous,ECDSA-P-384,ECDSA-P-384,ECDSA-P-384,SecP256r1MLKEM768,pqc,3,1249,1153,64,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
secp384r1mlkem1024__root_slh_dsa_shake_192f__leaf_ecdsa_p_384,1,root_slh_dsa_shake_192f__leaf_ecdsa_p_384,heavy_root,SLH-DSA-SHAKE-192f,ECDSA-P-384,ECDSA-P-384,SecP384r1MLKEM1024,pqc,5,1665,1665,80,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
mlkem1024__homogeneous_slh_dsa_shake_192f,1,homogeneous_slh_dsa_shake_192f,homogeneous_x509,SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f,MLKEM1024,pqc,5,1568,1568,32,SLH-DSA-SHAKE-192f,pqc,3,48,96,35664,ecdsa_secp384r1_sha384,25,0,required,SLH-DSA-SHAKE-192f signs all X.509 certificates; TLS CertificateVerify uses ECDSA
ecdhe_p_521__homogeneous_ecdsa_p_256,1,homogeneous_ecdsa_p_256,homogeneous,ECDSA-P-256,ECDSA-P-256,ECDSA-P-256,ECDHE-P-521,classic,5,133,133,66,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
ecdhe_p_521__root_slh_dsa_shake_192s__leaf_ecdsa_p_384,1,root_slh_dsa_shake_192s__leaf_ecdsa_p_384,heavy_root,SLH-DSA-SHAKE-192s,ECDSA-P-384,ECDSA-P-384,ECDHE-P-521,classic,5,133,133,66,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
secp384r1mlkem1024__root_slh_dsa_shake_192f__leaf_ml_dsa_65,1,root_slh_dsa_shake_192f__leaf_ml_dsa_65,heavy_root,SLH-DSA-SHAKE-192f,ML-DSA-65,ML-DSA-65,SecP384r1MLKEM1024,pqc,5,1665,1665,80,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,25,0,required,
mlkem512__homogeneous_ecdsa_p_384,1,homogeneous_ecdsa_p_384,homogeneous,ECDSA-P-384,ECDSA-P-384,ECDSA-P-384,MLKEM512,pqc,1,800,768,32,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
secp256r1mlkem768__root_slh_dsa_shake_256s__leaf_ml_dsa_87,1,root_slh_dsa_shake_256s__leaf_ml_dsa_87,heavy_root,SLH-DSA-SHAKE-256s,ML-DSA-87,ML-DSA-87,SecP256r1MLKEM768,pqc,3,1249,1153,64,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
mlkem512__homogeneous_rsa_pss_3072,1,homogeneous_rsa_pss_3072,homogeneous_x509,RSA-PSS-3072,RSA-PSS-3072,RSA-PSS-3072,MLKEM512,pqc,1,800,768,32,RSA-PSS-3072,classic,1,384,384,384,rsa_pss_rsae_sha256,25,0,required,
ecdhe_p_256__homogeneous_rsa_pss_3072,1,homogeneous_rsa_pss_3072,homogeneous_x509,RSA-PSS-3072,RSA-PSS-3072,RSA-PSS-3072,ECDHE-P-256,classic,1,65,65,32,RSA-PSS-3072,classic,1,384,384,384,rsa_pss_rsae_sha256,25,0,required,
secp256r1mlkem768__root_rsa_pss_15360__leaf_ecdsa_p_521,1,root_rsa_pss_15360__leaf_ecdsa_p_521,heavy_root,RSA-PSS-15360,ECDSA-P-521,ECDSA-P-521,SecP256r1MLKEM768,pqc,3,1249,1153,64,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,25,0,required,
mlkem1024__root_slh_dsa_shake_192s__leaf_ecdsa_p_384,1,root_slh_dsa_shake_192s__leaf_ecdsa_p_384,heavy_root,SLH-DSA-SHAKE-192s,ECDSA-P-384,ECDSA-P-384,MLKEM1024,pqc,5,1568,1568,32,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
mlkem512__homogeneous_ecdsa_p_256,1,homogeneous_ecdsa_p_256,homogeneous,ECDSA-P-256,ECDSA-P-256,ECDSA-P-256,MLKEM512,pqc,1,800,768,32,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
mlkem768__root_lms_hss_l2_h10_w4__leaf_ecdsa_p_521,1,root_lms_hss_l2_h10_w4__leaf_ecdsa_p_521,heavy_root,LMS-HSS-L2-H10-W4,ECDSA-P-521,ECDSA-P-521,MLKEM768,pqc,3,1184,1088,32,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,25,0,required,
x25519mlkem768__root_xmss_sha2_20_256__leaf_ml_dsa_87,1,root_xmss_sha2_20_256__leaf_ml_dsa_87,heavy_root,XMSS-SHA2_20_256,ML-DSA-87,ML-DSA-87,X25519MLKEM768,pqc,3,1216,1120,64,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
mlkem768__homogeneous_rsa_pss_3072,1,homogeneous_rsa_pss_3072,homogeneous_x509,RSA-PSS-3072,RSA-PSS-3072,RSA-PSS-3072,MLKEM768,pqc,3,1184,1088,32,RSA-PSS-3072,classic,1,384,384,384,rsa_pss_rsae_sha256,25,0,required,
ecdhe_p_384__root_slh_dsa_shake_128s__leaf_ecdsa_p_256,1,root_slh_dsa_shake_128s__leaf_ecdsa_p_256,heavy_root,SLH-DSA-SHAKE-128s,ECDSA-P-256,ECDSA-P-256,ECDHE-P-384,classic,3,97,97,48,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
ecdhe_p_521__root_slh_dsa_shake_256s__leaf_ecdsa_p_521,1,root_slh_dsa_shake_256s__leaf_ecdsa_p_521,heavy_root,SLH-DSA-SHAKE-256s,ECDSA-P-521,ECDSA-P-521,ECDHE-P-521,classic,5,133,133,66,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,25,0,required,
ecdhe_p_256__root_slh_dsa_shake_128f__leaf_ecdsa_p_256,1,root_slh_dsa_shake_128f__leaf_ecdsa_p_256,heavy_root,SLH-DSA-SHAKE-128f,ECDSA-P-256,ECDSA-P-256,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
x25519mlkem768__root_rsa_pss_3072__leaf_ecdsa_p_256,1,root_rsa_pss_3072__leaf_ecdsa_p_256,heavy_root,RSA-PSS-3072,ECDSA-P-256,ECDSA-P-256,X25519MLKEM768,pqc,3,1216,1120,64,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
mlkem1024__homogeneous_ml_dsa_65,1,homogeneous_ml_dsa_65,homogeneous,ML-DSA-65,ML-DSA-65,ML-DSA-65,MLKEM1024,pqc,5,1568,1568,32,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,25,0,required,
mlkem1024__homogeneous_xmss_sha2_20_256,1,homogeneous_xmss_sha2_20_256,homogeneous_x509,XMSS-SHA2_20_256,XMSS-SHA2_20_256,XMSS-SHA2_20_256,MLKEM1024,pqc,5,1568,1568,32,XMSS-SHA2_20_256,pqc,5,68,2573,2820,ecdsa_secp256r1_sha256,25,0,required,XMSS-SHA2_20_256 signs all X.509 certificates; TLS CertificateVerify uses ECDSA
ecdhe_p_256__homogeneous_lms_hss_l2_h10_w4,1,homogeneous_lms_hss_l2_h10_w4,homogeneous_x509,LMS-HSS-L2-H10-W4,LMS-HSS-L2-H10-W4,LMS-HSS-L2-H10-W4,ECDHE-P-256,classic,1,65,65,32,LMS-HSS-L2-H10-W4,pqc,5,60,64,5076,ecdsa_secp256r1_sha256,25,0,required,LMS-HSS-L2-H10-W4 signs all X.509 certificates; TLS CertificateVerify uses ECDSA
mlkem1024__homogeneous_ml_dsa_87,1,homogeneous_ml_dsa_87,homogeneous,ML-DSA-87,ML-DSA-87,ML-DSA-87,MLKEM1024,pqc,5,1568,1568,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
secp384r1mlkem1024__root_rsa_pss_15360__leaf_ml_dsa_87,1,root_rsa_pss_15360__leaf_ml_dsa_87,heavy_root,RSA-PSS-15360,ML-DSA-87,ML-DSA-87,SecP384r1MLKEM1024,pqc,5,1665,1665,80,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
mlkem768__root_slh_dsa_shake_192f__leaf_ml_dsa_65,1,root_slh_dsa_shake_192f__leaf_ml_dsa_65,heavy_root,SLH-DSA-SHAKE-192f,ML-DSA-65,ML-DSA-65,MLKEM768,pqc,3,1184,1088,32,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,25,0,required,
ecdhe_p_521__root_slh_dsa_shake_128f__leaf_ml_dsa_44,1,root_slh_dsa_shake_128f__leaf_ml_dsa_44,heavy_root,SLH-DSA-SHAKE-128f,ML-DSA-44,ML-DSA-44,ECDHE-P-521,classic,5,133,133,66,ML-DSA-44,pqc,2,1312,2560,2420,mldsa44,25,0,required,
mlkem512__root_rsa_pss_7680__leaf_ml_dsa_65,1,root_rsa_pss_7680__leaf_ml_dsa_65,heavy_root,RSA-PSS-7680,ML-DSA-65,ML-DSA-65,MLKEM512,pqc,1,800,768,32,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,25,0,required,
secp256r1mlkem768__root_slh_dsa_shake_192f__leaf_ml_dsa_65,1,root_slh_dsa_shake_192f__leaf_ml_dsa_65,heavy_root,SLH-DSA-SHAKE-192f,ML-DSA-65,ML-DSA-65,SecP256r1MLKEM768,pqc,3,1249,1153,64,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,25,0,required,
ecdhe_p_384__homogeneous_ml_dsa_65,1,homogeneous_ml_dsa_65,homogeneous,ML-DSA-65,ML-DSA-65,ML-DSA-65,ECDHE-P-384,classic,3,97,97,48,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,25,0,required,
ecdhe_p_521__root_slh_dsa_shake_192f__leaf_ecdsa_p_384,1,root_slh_dsa_shake_192f__leaf_ecdsa_p_384,heavy_root,SLH-DSA-SHAKE-192f,ECDSA-P-384,ECDSA-P-384,ECDHE-P-521,classic,5,133,133,66,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
ecdhe_p_256__root_rsa_pss_7680__leaf_ecdsa_p_384,1,root_rsa_pss_7680__leaf_ecdsa_p_384,heavy_root,RSA-PSS-7680,ECDSA-P-384,ECDSA-P-384,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
secp256r1mlkem768__root_xmss_sha2_20_256__leaf_ml_dsa_87,1,root_xmss_sha2_20_256__leaf_ml_dsa_87,heavy_root,XMSS-SHA2_20_256,ML-DSA-87,ML-DSA-87,SecP256r1MLKEM768,pqc,3,1249,1153,64,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
mlkem768__homogeneous_slh_dsa_shake_256f,1,homogeneous_slh_dsa_shake_256f,homogeneous_x509,SLH-DSA-SHAKE-256f,SLH-DSA-SHAKE-256f,SLH-DSA-SHAKE-256f,MLKEM768,pqc,3,1184,1088,32,SLH-DSA-SHAKE-256f,pqc,5,64,128,49856,ecdsa_secp521r1_sha512,25,0,required,SLH-DSA-SHAKE-256f signs all X.509 certificates; TLS CertificateVerify uses ECDSA
mlkem1024__root_slh_dsa_shake_256s__leaf_ml_dsa_87,1,root_slh_dsa_shake_256s__leaf_ml_dsa_87,heavy_root,SLH-DSA-SHAKE-256s,ML-DSA-87,ML-DSA-87,MLKEM1024,pqc,5,1568,1568,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
secp256r1mlkem768__homogeneous_slh_dsa_shake_192f,1,homogeneous_slh_dsa_shake_192f,homogeneous_x509,SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f,SecP256r1MLKEM768,pqc,3,1249,1153,64,SLH-DSA-SHAKE-192f,pqc,3,48,96,35664,ecdsa_secp384r1_sha384,25,0,required,SLH-DSA-SHAKE-192f signs all X.509 certificates; TLS CertificateVerify uses ECDSA
secp256r1mlkem768__root_slh_dsa_shake_192f__leaf_ecdsa_p_384,1,root_slh_dsa_shake_192f__leaf_ecdsa_p_384,heavy_root,SLH-DSA-SHAKE-192f,ECDSA-P-384,ECDSA-P-384,SecP256r1MLKEM768,pqc,3,1249,1153,64,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
x25519mlkem768__homogeneous_ecdsa_p_384,1,homogeneous_ecdsa_p_384,homogeneous,ECDSA-P-384,ECDSA-P-384,ECDSA-P-384,X25519MLKEM768,pqc,3,1216,1120,64,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
mlkem1024__root_xmss_sha2_20_256__leaf_ml_dsa_87,1,root_xmss_sha2_20_256__leaf_ml_dsa_87,heavy_root,XMSS-SHA2_20_256,ML-DSA-87,ML-DSA-87,MLKEM1024,pqc,5,1568,1568,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
secp256r1mlkem768__homogeneous_slh_dsa_shake_128s,1,homogeneous_slh_dsa_shake_128s,homogeneous_x509,SLH-DSA-SHAKE-128s,SLH-DSA-SHAKE-128s,SLH-DSA-SHAKE-128s,SecP256r1MLKEM768,pqc,3,1249,1153,64,SLH-DSA-SHAKE-128s,pqc,1,32,64,7856,ecdsa_secp256r1_sha256,25,0,required,SLH-DSA-SHAKE-128s signs all X.509 certificates; TLS CertificateVerify uses ECDSA
mlkem1024__root_slh_dsa_shake_128f__leaf_ecdsa_p_256,1,root_slh_dsa_shake_128f__leaf_ecdsa_p_256,heavy_root,SLH-DSA-SHAKE-128f,ECDSA-P-256,ECDSA-P-256,MLKEM1024,pqc,5,1568,1568,32,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
ecdhe_p_256__root_slh_dsa_shake_128s__leaf_ecdsa_p_256,1,root_slh_dsa_shake_128s__leaf_ecdsa_p_256,heavy_root,SLH-DSA-SHAKE-128s,ECDSA-P-256,ECDSA-P-256,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
secp384r1mlkem1024__root_rsa_pss_3072__leaf_ml_dsa_44,1,root_rsa_pss_3072__leaf_ml_dsa_44,heavy_root,RSA-PSS-3072,ML-DSA-44,ML-DSA-44,SecP384r1MLKEM1024,pqc,5,1665,1665,80,ML-DSA-44,pqc,2,1312,2560,2420,mldsa44,25,0,required,
x25519mlkem768__root_rsa_pss_7680__leaf_ecdsa_p_384,1,root_rsa_pss_7680__leaf_ecdsa_p_384,heavy_root,RSA-PSS-7680,ECDSA-P-384,ECDSA-P-384,X25519MLKEM768,pqc,3,1216,1120,64,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,25,0,required,
secp256r1mlkem768__homogeneous_slh_dsa_shake_256f,1,homogeneous_slh_dsa_shake_256f,homogeneous_x509,SLH-DSA-SHAKE-256f,SLH-DSA-SHAKE-256f,SLH-DSA-SHAKE-256f,SecP256r1MLKEM768,pqc,3,1249,1153,64,SLH-DSA-SHAKE-256f,pqc,5,64,128,49856,ecdsa_secp521r1_sha512,25,0,required,SLH-DSA-SHAKE-256f signs all X.509 certificates; TLS CertificateVerify uses ECDSA
ecdhe_p_521__root_xmss_sha2_20_256__leaf_ml_dsa_87,1,root_xmss_sha2_20_256__leaf_ml_dsa_87,heavy_root,XMSS-SHA2_20_256,ML-DSA-87,ML-DSA-87,ECDHE-P-521,classic,5,133,133,66,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
secp256r1mlkem768__root_slh_dsa_shake_192s__leaf_ml_dsa_65,1,root_slh_dsa_shake_192s__leaf_ml_dsa_65,heavy_root,SLH-DSA-SHAKE-192s,ML-DSA-65,ML-DSA-65,SecP256r1MLKEM768,pqc,3,1249,1153,64,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,25,0,required,
secp256r1mlkem768__homogeneous_rsa_pss_7680,1,homogeneous_rsa_pss_7680,homogeneous_x509,RSA-PSS-7680,RSA-PSS-7680,RSA-PSS-7680,SecP256r1MLKEM768,pqc,3,1249,1153,64,RSA-PSS-7680,classic,3,960,960,960,rsa_pss_rsae_sha384,25,0,required,
mlkem768__root_slh_dsa_shake_256s__leaf_ml_dsa_87,1,root_slh_dsa_shake_256s__leaf_ml_dsa_87,heavy_root,SLH-DSA-SHAKE-256s,ML-DSA-87,ML-DSA-87,MLKEM768,pqc,3,1184,1088,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,25,0,required,
mlkem768__homogeneous_ecdsa_p_256,1,homogeneous_ecdsa_p_256,homogeneous,ECDSA-P-256,ECDSA-P-256,ECDSA-P-256,MLKEM768,pqc,3,1184,1088,32,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,25,0,required,
